InvoiceNo,CustomerName,ProductCategory,OrderDate,ShippingDate,Price,Quantity,Country,TotalAmount
INV-2427,Frank,Electronics,2024-05-20,2024-05-21,340.02,5,USA,1700.1
INV-5268,Eve,Books,2024-01-31,2024-02-04,382.57,2,France,765.14
INV-7221,Charlie,Toys,2024-02-12,2024-02-18,36.2,10,UK,362.0
INV-9730,Diana,Clothing,2024-08-05,2024-08-12,402.89,9,USA,3626.01
INV-2330,Bob,Toys,2024-01-25,2024-01-26,234.17,2,Canada,468.34
INV-8435,Charlie,Clothing,2024-05-24,2024-05-30,483.33,9,USA,4349.97
INV-5393,Frank,Groceries,2024-05-24,2024-05-30,131.09,3,Canada,393.27
INV-1503,Eve,Beauty,2024-10-11,2024-10-14,355.39,5,Australia,1776.95
INV-2152,Eve,Beauty,2024-09-27,2024-09-28,276.06,4,UK,1104.24
INV-8935,Alice,Groceries,2024-05-13,2024-05-15,450.03,8,USA,3600.24
INV-8237,Alice,Beauty,2024-09-24,2024-10-01,393.22,7,UK,2752.54
INV-1975,Bob,Clothing,2024-12-03,2024-12-09,360.08,2,Germany,720.16
INV-3192,Bob,Toys,2024-03-01,2024-03-02,162.6,2,USA,325.2
INV-2947,Frank,Clothing,2024-02-14,2024-02-19,269.79,5,Germany,1348.95
INV-8112,Frank,Electronics,2024-05-18,2024-05-21,346.37,5,France,1731.85
INV-3081,Alice,Books,2024-07-11,2024-07-13,319.78,4,Canada,1279.12
INV-5788,Charlie,Groceries,2024-09-29,2024-10-03,460.59,7,France,3224.13
INV-9394,Bob,Beauty,2024-05-16,2024-05-17,38.36,1,UK,38.36
INV-3161,Eve,Books,2024-01-08,2024-01-14,462.86,5,France,2314.3
INV-7056,Charlie,Toys,2024-12-13,2024-12-15,204.74,9,Australia,1842.66
INV-4549,Eve,Groceries,2024-01-19,2024-01-26,204.11,10,UK,2041.1
INV-8776,Diana,Beauty,2024-09-23,2024-09-27,490.35,4,USA,1961.4
INV-7297,Eve,Books,2024-11-07,2024-11-13,190.73,6,France,1144.38
INV-3480,Alice,Electronics,2024-06-28,2024-07-02,493.07,2,Canada,986.14
INV-9848,Frank,Electronics,2024-07-06,2024-07-10,42.93,5,Australia,214.65
INV-7664,Alice,Books,2024-12-22,2024-12-27,116.53,7,France,815.71
INV-9306,Frank,Beauty,2024-08-03,2024-08-07,207.66,5,Canada,1038.3
INV-2919,Charlie,Toys,2024-05-11,2024-05-17,471.11,5,Canada,2355.55
INV-3077,Frank,Clothing,2024-03-10,2024-03-11,207.94,1,USA,207.94
INV-5514,Charlie,Clothing,2024-12-30,2025-01-06,334.54,1,Germany,334.54
INV-4317,Bob,Beauty,2024-04-10,2024-04-15,49.7,10,USA,497.0
INV-7552,Diana,Groceries,2024-01-23,2024-01-24,60.25,5,USA,301.25
INV-9327,Frank,Books,2024-10-13,2024-10-14,478.69,1,Germany,478.69
INV-6385,Bob,Groceries,2024-08-13,2024-08-19,65.44,5,France,327.2
INV-3857,Alice,Groceries,2024-06-16,2024-06-17,106.34,4,Australia,425.36
INV-1118,Charlie,Beauty,2024-08-19,2024-08-24,468.54,10,France,4685.4
INV-5039,Alice,Clothing,2024-07-22,2024-07-23,295.29,4,Canada,1181.16
INV-7639,Frank,Clothing,2024-04-04,2024-04-08,303.18,5,France,1515.9
INV-7975,Diana,Electronics,2024-04-13,2024-04-15,94.13,9,Australia,847.17
INV-4810,Eve,Books,2024-02-29,2024-03-02,173.91,9,France,1565.19
INV-3162,Charlie,Clothing,2024-07-27,2024-08-03,143.29,3,France,429.87
INV-9014,Bob,Electronics,2024-10-24,2024-10-30,151.2,2,Canada,302.4
INV-2239,Alice,Clothing,2024-06-17,2024-06-21,239.24,4,Canada,956.96
INV-5439,Frank,Clothing,2024-08-16,2024-08-20,166.74,6,UK,1000.44
INV-7147,Eve,Groceries,2024-07-03,2024-07-08,223.1,7,Australia,1561.7
INV-3042,Alice,Books,2024-09-02,2024-09-09,400.07,5,France,2000.35
INV-6155,Alice,Books,2024-09-21,2024-09-22,10.16,5,UK,50.8
INV-8690,Bob,Beauty,2024-11-17,2024-11-22,198.67,3,Germany,596.01
INV-9067,Charlie,Electronics,2024-01-20,2024-01-24,236.62,7,UK,1656.34
INV-4903,Eve,Electronics,2024-07-13,2024-07-20,27.92,7,Australia,195.44
INV-8729,Diana,Electronics,2024-12-27,2024-12-31,257.16,5,UK,1285.8
INV-3583,Diana,Electronics,2024-04-04,2024-04-05,6.14,6,France,36.84
INV-2523,Eve,Beauty,2024-12-08,2024-12-09,404.96,3,USA,1214.88
INV-3566,Alice,Clothing,2024-06-07,2024-06-12,217.48,8,France,1739.84
INV-9093,Diana,Books,2024-11-17,2024-11-21,251.88,9,France,2266.92
INV-1910,Frank,Books,2024-07-20,2024-07-24,140.42,9,Canada,1263.78
INV-3011,Charlie,Electronics,2024-12-06,2024-12-09,427.96,3,USA,1283.88
INV-4451,Eve,Groceries,2024-01-16,2024-01-22,255.99,6,UK,1535.94
INV-1970,Bob,Clothing,2024-05-03,2024-05-05,131.51,7,USA,920.57
INV-8013,Bob,Groceries,2024-10-16,2024-10-22,473.83,8,USA,3790.64
INV-9099,Eve,Clothing,2024-11-23,2024-11-25,410.21,2,UK,820.42
INV-9645,Charlie,Clothing,2024-05-04,2024-05-10,212.33,8,Australia,1698.64
INV-4585,Alice,Books,2024-04-05,2024-04-10,219.59,1,UK,219.59
INV-9966,Eve,Groceries,2024-12-19,2024-12-23,294.64,10,UK,2946.4
INV-4555,Frank,Clothing,2024-06-05,2024-06-07,487.51,9,UK,4387.59
INV-2952,Frank,Books,2024-01-19,2024-01-23,141.25,2,USA,282.5
INV-3681,Alice,Toys,2024-02-01,2024-02-03,395.84,9,Canada,3562.56
INV-3782,Frank,Beauty,2024-06-11,2024-06-15,225.78,8,USA,1806.24
INV-4049,Bob,Beauty,2024-11-12,2024-11-16,54.93,6,Germany,329.58
INV-7005,Eve,Electronics,2024-05-31,2024-06-07,356.53,6,UK,2139.18
INV-5937,Diana,Toys,2024-10-20,2024-10-23,385.61,4,Australia,1542.44
INV-5643,Frank,Toys,2024-07-25,2024-07-30,210.09,10,France,2100.9
INV-1981,Frank,Groceries,2024-01-19,2024-01-22,389.77,1,France,389.77
INV-1927,Eve,Clothing,2024-10-23,2024-10-28,165.95,1,UK,165.95
INV-9703,Frank,Books,2024-03-03,2024-03-06,424.72,3,USA,1274.16
INV-3804,Frank,Books,2024-05-26,2024-06-02,360.28,1,France,360.28
INV-6555,Bob,Beauty,2024-11-28,2024-12-02,272.96,6,Australia,1637.76
INV-9809,Diana,Toys,2024-02-21,2024-02-23,44.73,1,Australia,44.73
INV-1300,Charlie,Toys,2024-11-14,2024-11-17,129.22,7,Australia,904.54
INV-6906,Diana,Books,2024-06-11,2024-06-14,91.97,3,Australia,275.91
INV-5441,Charlie,Books,2024-09-30,2024-10-02,418.8,3,UK,1256.4
INV-1085,Bob,Electronics,2024-07-17,2024-07-22,210.33,2,Australia,420.66
INV-8557,Alice,Clothing,2024-01-06,2024-01-10,288.87,8,UK,2310.96
INV-7928,Bob,Clothing,2024-12-18,2024-12-22,394.0,9,France,3546.0
INV-3490,Bob,Groceries,2024-04-21,2024-04-22,141.99,1,Germany,141.99
INV-9530,Diana,Books,2024-03-14,2024-03-20,109.58,5,Germany,547.9
INV-5063,Charlie,Beauty,2024-10-21,2024-10-25,429.41,4,Australia,1717.64
INV-9297,Alice,Toys,2024-09-07,2024-09-08,23.0,2,France,46.0
INV-8674,Eve,Electronics,2024-12-29,2025-01-03,23.59,5,Germany,117.95
INV-6752,Diana,Beauty,2024-04-19,2024-04-21,172.14,2,Canada,344.28
INV-9442,Diana,Toys,2024-06-27,2024-06-30,128.51,6,France,771.06
INV-5499,Alice,Clothing,2024-06-01,2024-06-08,227.38,8,Germany,1819.04
INV-3678,Frank,Toys,2024-04-22,2024-04-25,305.82,5,France,1529.1
INV-6668,Charlie,Books,2024-09-23,2024-09-29,187.49,10,France,1874.9
INV-1802,Frank,Toys,2024-06-18,2024-06-19,28.43,10,France,284.3
INV-4240,Diana,Beauty,2024-10-26,2024-10-28,165.63,4,Germany,662.52
INV-7761,Charlie,Toys,2024-12-19,2024-12-20,157.75,1,Australia,157.75
INV-1764,Eve,Clothing,2024-07-10,2024-07-12,312.64,7,Australia,2188.48
INV-8146,Frank,Electronics,2024-04-07,2024-04-13,140.99,2,France,281.98
INV-6446,Diana,Clothing,2024-06-19,2024-06-22,480.09,1,France,480.09
INV-3206,Charlie,Beauty,2024-11-22,2024-11-23,438.13,10,UK,4381.3
INV-4100,Alice,Clothing,2024-06-18,2024-06-21,492.74,1,UK,492.74
INV-7386,Diana,Clothing,2024-02-04,2024-02-08,188.28,2,France,376.56
INV-9965,Alice,Electronics,2024-11-30,2024-12-02,486.48,1,Australia,486.48
INV-3355,Bob,Groceries,2024-02-15,2024-02-20,420.83,4,USA,1683.32
INV-7031,Alice,Books,2024-01-18,2024-01-20,18.92,1,UK,18.92
INV-8344,Alice,Clothing,2024-09-18,2024-09-20,74.38,8,Germany,595.04
INV-5129,Alice,Beauty,2024-07-05,2024-07-12,34.44,2,Australia,68.88
INV-9421,Bob,Books,2024-11-01,2024-11-08,47.04,1,Canada,47.04
INV-6998,Eve,Beauty,2024-08-12,2024-08-17,61.19,1,Germany,61.19
INV-3215,Diana,Clothing,2024-02-16,2024-02-23,269.29,10,France,1017.3499999999999
INV-1404,Bob,Toys,2024-10-28,2024-11-04,336.94,1,Germany,336.94
INV-4587,Alice,Books,2024-10-26,2024-10-31,352.71,1,UK,352.71
INV-8379,Eve,Groceries,2024-06-18,2024-06-20,207.47,1,UK,207.47
INV-2612,Eve,Clothing,2024-07-13,2024-07-14,290.63,8,Germany,2325.04
INV-4301,Frank,Beauty,2024-11-30,2024-12-02,441.13,8,Canada,3529.04
INV-3353,Bob,Electronics,2024-01-17,2024-01-23,324.63,7,UK,2272.41
INV-8597,Diana,Groceries,2024-08-24,2024-08-28,126.91,5,France,634.55
INV-7013,Alice,Electronics,2024-08-23,2024-08-29,409.6,9,Australia,3686.4
INV-8393,Alice,Electronics,2024-04-09,2024-04-15,105.25,7,Australia,736.75
INV-1669,Charlie,Clothing,2024-10-28,2024-11-04,136.8,2,Australia,273.6
INV-5939,Eve,Toys,2024-11-20,2024-11-27,237.75,7,France,1664.25
INV-9956,Diana,Toys,2024-02-04,2024-02-06,347.21,2,Canada,694.42
INV-9715,Diana,Beauty,2024-08-29,2024-09-03,305.82,9,France,2752.38
INV-9995,Charlie,Clothing,2024-05-10,2024-05-16,458.33,8,Australia,3666.64
INV-8592,Frank,Beauty,2024-01-25,2024-01-28,267.9,1,France,267.9
INV-5486,Alice,Clothing,2024-02-12,2024-02-16,141.96,1,UK,141.96
INV-9081,Diana,Books,2024-07-19,2024-07-25,161.35,2,Canada,322.7
INV-2368,Charlie,Groceries,2024-12-20,2024-12-26,344.38,1,France,344.38
INV-6347,Eve,Books,2024-05-02,2024-05-06,325.34,5,UK,1626.7
INV-5816,Frank,Beauty,2024-02-20,2024-02-25,288.55,8,USA,2308.4
INV-5963,Alice,Groceries,2024-01-30,2024-02-04,344.49,1,USA,344.49
INV-1219,Diana,Beauty,2024-03-11,2024-03-16,368.18,8,Australia,2945.44
INV-7123,Frank,Groceries,2024-04-19,2024-04-24,212.85,2,Canada,425.7
INV-6728,Alice,Groceries,2024-11-12,2024-11-15,341.54,2,UK,683.08
INV-5116,Diana,Books,2024-01-01,2024-01-08,87.59,6,Australia,525.54
INV-6109,Eve,Clothing,2024-05-03,2024-05-05,47.55,5,France,237.75
INV-5465,Eve,Groceries,2024-07-06,2024-07-12,40.9,1,UK,40.9
INV-5848,Frank,Beauty,2024-08-22,2024-08-25,25.46,8,Canada,203.68
INV-6430,Diana,Beauty,2024-07-18,2024-07-22,311.24,5,Germany,1556.2
INV-5951,Frank,Beauty,2024-07-16,2024-07-22,310.52,5,France,1552.6
INV-2016,Bob,Groceries,2024-10-07,2024-10-12,52.16,1,Canada,52.16
INV-7159,Charlie,Groceries,2024-02-28,2024-03-01,353.63,1,UK,353.63
INV-1378,Alice,Electronics,2024-07-25,2024-07-31,285.96,5,Germany,1429.8
INV-8235,Eve,Groceries,2024-12-05,2024-12-08,440.43,3,UK,1321.29
INV-9362,Charlie,Electronics,2024-01-21,2024-01-25,316.41,3,Australia,949.23
INV-7616,Bob,Toys,2024-04-08,2024-04-11,427.96,6,Australia,2567.76
INV-8564,Frank,Groceries,2024-03-21,2024-03-27,209.3,7,Germany,1465.1
INV-5752,Eve,Toys,2024-10-02,2024-10-03,278.33,9,France,2504.97
INV-8469,Charlie,Clothing,2024-10-18,2024-10-24,108.33,6,Australia,649.98
INV-6448,Charlie,Clothing,2024-01-14,2024-01-17,462.24,1,Germany,462.24
INV-7816,Bob,Clothing,2024-03-11,2024-03-17,376.92,8,France,3015.36
INV-7401,Eve,Electronics,2024-09-11,2024-09-17,55.5,5,Australia,277.5
INV-3319,Bob,Groceries,2024-03-11,2024-03-13,146.36,9,France,1317.24
INV-5434,Diana,Beauty,2024-11-01,2024-11-07,480.88,5,Australia,2404.4
INV-7410,Eve,Beauty,2024-07-31,2024-08-02,284.28,5,UK,1421.4
