InvoiceNo,CustomerName,ProductCategory,OrderDate,ShippingDate,Price,Quantity,Country,TotalAmount
INV-2427,Frank,Electronics,5/20/2024,5/21/2024,340.02,5,USA,1700.1
INV-5268,Eve,Books,1/31/2024,2/4/2024,382.57,2,France,765.14
INV-7221,Charlie,Toys,2/12/2024,2/18/2024,36.2,10,UK,362
INV-9730,Diana,Clothing,8/5/2024,8/12/2024,402.89,9,USA,3626.01
INV-2330,Bob,Toys,1/25/2024,1/26/2024,234.17,2,Canada,468.34
INV-8435,Charlie,Clothing,5/24/2024,5/30/2024,483.33,9,USA,4349.97
INV-5393,Frank,Groceries,5/24/2024,5/30/2024,131.09,3,Canada,393.27
INV-1503,Eve,Beauty,10/11/2024,10/14/2024,355.39,5,Australia,1776.95
INV-2152,Eve,Beauty,9/27/2024,9/28/2024,276.06,4,UK,1104.24
INV-8935,Alice,Groceries,5/13/2024,5/15/2024,450.03,8,USA,3600.24
INV-8237,Alice,Beauty,9/24/2024,10/1/2024,393.22,7,UK,2752.54
INV-1975,Bob,Clothing,12/3/2024,12/9/2024,360.08,2,Germany,720.16
INV-3192,Bob,Toys,3/1/2024,3/2/2024,162.6,2,USA,325.2
INV-2947,Frank,Clothing,2/14/2024,2/19/2024,269.79,5,Germany,1348.95
INV-8112,Frank,Electronics,5/18/2024,5/21/2024,346.37,5,France,1731.85
INV-3081,Alice,Books,7/11/2024,7/13/2024,319.78,4,Canada,1279.12
INV-5788,Charlie,Groceries,9/29/2024,10/3/2024,460.59,7,France,3224.13
INV-9394,Bob,Beauty,5/16/2024,5/17/2024,38.36,1,UK,38.36
INV-3161,Eve,Books,1/8/2024,1/14/2024,462.86,5,France,2314.3
INV-7056,Charlie,Toys,12/13/2024,12/15/2024,204.74,9,Australia,1842.66
INV-4549,Eve,Groceries,1/19/2024,1/26/2024,204.11,10,UK,2041.1
INV-8776,Diana,Beauty,9/23/2024,9/27/2024,490.35,4,USA,1961.4
INV-7297,Eve,Books,11/7/2024,11/13/2024,190.73,6,France,1144.38
INV-3480,Alice,Electronics,6/28/2024,7/2/2024,493.07,2,Canada,986.14
INV-9848,Frank,Electronics,7/6/2024,7/10/2024,42.93,5,Australia,214.65
INV-7664,Alice,Books,12/22/2024,12/27/2024,116.53,7,France,815.71
INV-9306,Frank,Beauty,8/3/2024,8/7/2024,207.66,5,Canada,1038.3
INV-2919,Charlie,Toys,5/11/2024,5/17/2024,471.11,5,Canada,2355.55
INV-3077,Frank,Clothing,3/10/2024,3/11/2024,207.94,1,USA,207.94
INV-5514,Charlie,Clothing,12/30/2024,1/6/2025,334.54,1,Germany,334.54
INV-4317,Bob,Beauty,4/10/2024,4/15/2024,49.7,10,USA,497
INV-7552,Diana,Groceries,1/23/2024,1/24/2024,60.25,5,USA,301.25
INV-9327,Frank,Books,10/13/2024,10/14/2024,478.69,1,Germany,478.69
INV-6385,Bob,Groceries,8/13/2024,8/19/2024,65.44,5,France,327.2
INV-3857,Alice,Groceries,6/16/2024,6/17/2024,106.34,4,Australia,425.36
INV-1118,Charlie,Beauty,8/19/2024,8/24/2024,468.54,10,France,4685.4
INV-5039,Alice,Clothing,7/22/2024,7/23/2024,295.29,4,Canada,1181.16
INV-7639,Frank,Clothing,4/4/2024,4/8/2024,303.18,5,France,1515.9
INV-7975,Diana,Electronics,4/13/2024,4/15/2024,94.13,9,Australia,847.17
INV-9208,,Groceries,11/28/2024,12/3/2024,364.16,10,Germany,3641.6
INV-4810,Eve,Books,2/29/2024,3/2/2024,173.91,9,France,1565.19
INV-3162,Charlie,Clothing,7/27/2024,8/3/2024,143.29,3,France,429.87
INV-9014,Bob,Electronics,10/24/2024,10/30/2024,151.2,2,Canada,302.4
INV-2239,Alice,Clothing,6/17/2024,6/21/2024,239.24,4,Canada,956.96
INV-5439,Frank,Clothing,8/16/2024,8/20/2024,166.74,6,UK,1000.44
INV-7147,Eve,Groceries,7/3/2024,7/8/2024,223.1,7,Australia,1561.7
INV-3042,Alice,Books,9/2/2024,9/9/2024,400.07,5,France,2000.35
INV-6155,Alice,Books,9/21/2024,9/22/2024,10.16,5,UK,50.8
INV-8690,Bob,Beauty,11/17/2024,11/22/2024,198.67,3,Germany,596.01
INV-9067,Charlie,Electronics,1/20/2024,1/24/2024,236.62,7,UK,1656.34
INV-4903,Eve,Electronics,7/13/2024,7/20/2024,27.92,7,Australia,195.44
INV-8729,Diana,Electronics,12/27/2024,12/31/2024,257.16,5,UK,1285.8
INV-3583,Diana,Electronics,4/4/2024,4/5/2024,6.14,6,France,36.84
INV-2523,Eve,Beauty,12/8/2024,12/9/2024,404.96,3,USA,1214.88
INV-3566,Alice,Clothing,6/7/2024,6/12/2024,217.48,8,France,1739.84
INV-9093,Diana,Books,11/17/2024,11/21/2024,251.88,9,France,2266.92
INV-1910,Frank,Books,7/20/2024,7/24/2024,140.42,9,Canada,1263.78
INV-3011,Charlie,Electronics,12/6/2024,12/9/2024,427.96,3,USA,1283.88
INV-4451,Eve,Groceries,1/16/2024,1/22/2024,255.99,6,UK,1535.94
INV-1970,Bob,Clothing,5/3/2024,5/5/2024,131.51,7,USA,920.57
INV-8013,Bob,Groceries,10/16/2024,10/22/2024,473.83,8,USA,3790.64
INV-9099,Eve,Clothing,11/23/2024,11/25/2024,410.21,2,UK,820.42
INV-9645,Charlie,Clothing,5/4/2024,5/10/2024,212.33,8,Australia,1698.64
INV-4585,Alice,Books,4/5/2024,4/10/2024,219.59,1,UK,219.59
INV-9966,Eve,Groceries,12/19/2024,12/23/2024,294.64,10,UK,2946.4
INV-4555,Frank,Clothing,6/5/2024,6/7/2024,487.51,9,UK,4387.59
INV-2952,Frank,Books,1/19/2024,1/23/2024,141.25,2,USA,282.5
INV-3681,Alice,Toys,2/1/2024,2/3/2024,395.84,9,Canada,3562.56
INV-3782,Frank,Beauty,6/11/2024,6/15/2024,225.78,8,USA,1806.24
INV-4049,Bob,Beauty,11/12/2024,11/16/2024,54.93,6,Germany,329.58
INV-7005,Eve,Electronics,5/31/2024,6/7/2024,356.53,6,UK,2139.18
INV-5937,Diana,Toys,10/20/2024,10/23/2024,385.61,4,Australia,1542.44
INV-5643,Frank,Toys,7/25/2024,7/30/2024,210.09,10,France,2100.9
INV-1981,Frank,Groceries,1/19/2024,1/22/2024,389.77,1,France,389.77
INV-1927,Eve,Clothing,10/23/2024,10/28/2024,165.95,1,UK,165.95
INV-9703,Frank,Books,3/3/2024,3/6/2024,424.72,3,USA,1274.16
INV-3804,Frank,Books,5/26/2024,6/2/2024,360.28,1,France,360.28
INV-6555,Bob,Beauty,11/28/2024,12/2/2024,272.96,6,Australia,1637.76
INV-4087,Charlie,Beauty,7/26/2024,7/31/2024,113.87,,Germany,455.48
INV-9809,Diana,Toys,2/21/2024,2/23/2024,44.73,1,Australia,44.73
INV-1300,Charlie,Toys,11/14/2024,11/17/2024,129.22,7,Australia,904.54
INV-6906,Diana,Books,6/11/2024,6/14/2024,91.97,3,Australia,275.91
INV-5441,Charlie,Books,9/30/2024,10/2/2024,418.8,3,UK,1256.4
INV-1085,Bob,Electronics,7/17/2024,7/22/2024,210.33,2,Australia,420.66
INV-8557,Alice,Clothing,1/6/2024,1/10/2024,288.87,8,UK,2310.96
INV-7928,Bob,Clothing,12/18/2024,12/22/2024,394,9,France,3546
INV-3490,Bob,Groceries,4/21/2024,4/22/2024,141.99,1,Germany,141.99
INV-9530,Diana,Books,3/14/2024,3/20/2024,109.58,5,Germany,547.9
INV-5063,Charlie,Beauty,10/21/2024,10/25/2024,429.41,4,Australia,1717.64
INV-9297,Alice,Toys,9/7/2024,9/8/2024,23,2,France,46
INV-8674,Eve,Electronics,12/29/2024,1/3/2025,23.59,5,Germany,117.95
INV-6752,Diana,Beauty,4/19/2024,4/21/2024,172.14,2,Canada,344.28
INV-9442,Diana,Toys,6/27/2024,6/30/2024,128.51,6,France,771.06
INV-5499,Alice,Clothing,6/1/2024,6/8/2024,227.38,8,Germany,1819.04
INV-3678,Frank,Toys,4/22/2024,4/25/2024,305.82,5,France,1529.1
INV-6668,Charlie,Books,9/23/2024,9/29/2024,187.49,10,France,1874.9
INV-1802,Frank,Toys,6/18/2024,6/19/2024,28.43,10,France,284.3
INV-4240,Diana,Beauty,10/26/2024,10/28/2024,165.63,4,Germany,662.52
INV-7761,Charlie,Toys,12/19/2024,12/20/2024,157.75,1,Australia,157.75
INV-1764,Eve,Clothing,7/10/2024,7/12/2024,312.64,7,Australia,2188.48
INV-8146,Frank,Electronics,4/7/2024,4/13/2024,140.99,2,France,281.98
INV-6446,Diana,Clothing,6/19/2024,6/22/2024,480.09,1,France,480.09
INV-3206,Charlie,Beauty,11/22/2024,11/23/2024,438.13,10,UK,4381.3
INV-4100,Alice,Clothing,6/18/2024,6/21/2024,492.74,1,UK,492.74
INV-7386,Diana,Clothing,2/4/2024,2/8/2024,188.28,2,France,376.56
INV-9965,Alice,Electronics,11/30/2024,12/2/2024,486.48,1,Australia,486.48
INV-3355,Bob,Groceries,2/15/2024,2/20/2024,420.83,4,USA,1683.32
INV-7031,Alice,Books,1/18/2024,1/20/2024,18.92,1,UK,18.92
INV-8344,Alice,Clothing,9/18/2024,9/20/2024,74.38,8,Germany,595.04
INV-5129,Alice,Beauty,7/5/2024,7/12/2024,34.44,2,Australia,68.88
INV-9421,Bob,Books,11/1/2024,11/8/2024,47.04,1,Canada,47.04
INV-9567,Diana,Toys,4/16/2024,4/23/2024,,6,UK,1172.52
INV-6998,Eve,Beauty,8/12/2024,8/17/2024,61.19,1,Germany,61.19
INV-3215,Diana,Clothing,2/16/2024,2/23/2024,269.29,10,France,
INV-1404,Bob,Toys,10/28/2024,11/4/2024,336.94,1,Germany,336.94
INV-4587,Alice,Books,10/26/2024,10/31/2024,352.71,1,UK,352.71
INV-8379,Eve,Groceries,6/18/2024,6/20/2024,207.47,1,UK,207.47
INV-2612,Eve,Clothing,7/13/2024,7/14/2024,290.63,8,Germany,2325.04
INV-4301,Frank,Beauty,11/30/2024,12/2/2024,441.13,8,Canada,3529.04
INV-3353,Bob,Electronics,1/17/2024,1/23/2024,324.63,7,UK,2272.41
INV-8597,Diana,Groceries,8/24/2024,8/28/2024,126.91,5,France,634.55
INV-7013,Alice,Electronics,8/23/2024,8/29/2024,409.6,9,Australia,3686.4
INV-8393,Alice,Electronics,4/9/2024,4/15/2024,105.25,7,Australia,736.75
INV-1669,Charlie,Clothing,10/28/2024,11/4/2024,136.8,2,Australia,273.6
INV-5939,Eve,Toys,11/20/2024,11/27/2024,237.75,7,France,1664.25
INV-9956,Diana,Toys,2/4/2024,2/6/2024,347.21,2,Canada,694.42
INV-9715,Diana,Beauty,8/29/2024,9/3/2024,305.82,9,France,2752.38
INV-9995,Charlie,Clothing,5/10/2024,5/16/2024,458.33,8,Australia,3666.64
INV-8592,Frank,Beauty,1/25/2024,1/28/2024,267.9,1,France,267.9
INV-5486,Alice,Clothing,2/12/2024,2/16/2024,141.96,1,UK,141.96
INV-9081,Diana,Books,7/19/2024,7/25/2024,161.35,2,Canada,322.7
INV-2368,Charlie,Groceries,12/20/2024,12/26/2024,344.38,1,France,344.38
INV-6347,Eve,Books,5/2/2024,5/6/2024,325.34,5,UK,1626.7
INV-5816,Frank,Beauty,2/20/2024,2/25/2024,288.55,8,USA,2308.4
INV-5963,Alice,Groceries,1/30/2024,2/4/2024,344.49,1,USA,344.49
INV-1219,Diana,Beauty,3/11/2024,3/16/2024,368.18,8,Australia,2945.44
INV-7123,Frank,Groceries,4/19/2024,4/24/2024,212.85,2,Canada,425.7
INV-6728,Alice,Groceries,11/12/2024,11/15/2024,341.54,2,UK,683.08
INV-5116,Diana,Books,1/1/2024,1/8/2024,87.59,6,Australia,525.54
INV-6109,Eve,Clothing,5/3/2024,5/5/2024,47.55,5,France,237.75
INV-5465,Eve,Groceries,7/6/2024,7/12/2024,40.9,1,UK,40.9
